Command_Acc,Feature_Extract,Inputs,Partcp_Acc,Time
0.982,ResNet,SPEC,0.97,53.74584781844169
0.98,ResNet,SPEC,0.968,59.78819158487021
0.972,ResNet,SPEC,0.96,60.0398078635335
0.982,ResNet,SPEC,0.958,56.50271027442068
0.98,ResNet,SPEC,0.968,56.19453434366733
0.986,ResNet,SPEC,0.966,55.37402096670121
0.978,ResNet,SPEC,0.952,55.079769525676966
0.988,ResNet,SPEC,0.96,55.30105638224632
0.984,ResNet,SPEC,0.96,51.44860803615302
0.98,ResNet,SPEC,0.952,52.3072138056159
0.99,ResNet,MFCC,0.9520000000000001,58.462490310892456
0.992,ResNet,MFCC,0.9540000000000001,61.01139484159648
0.992,ResNet,MFCC,0.958,56.78911811765282
0.99,ResNet,MFCC,0.95,52.18723952677101
0.9940000000000001,ResNet,MFCC,0.948,52.34219045937061
0.99,ResNet,MFCC,0.966,52.31552342232317
0.986,ResNet,MFCC,0.9620000000000001,51.385092851705856
0.986,ResNet,MFCC,0.9640000000000001,49.3874051021412
0.9840000000000001,ResNet,MFCC,0.958,52.382170791737735
0.988,ResNet,MFCC,0.9620000000000001,50.58895199559628
0.998,ResNet,MEL,0.992,58.64729060046376
0.996,ResNet,MEL,0.984,53.72176480200142
1.0,ResNet,MEL,0.992,55.881004746071994
0.998,ResNet,MEL,0.992,52.5421056356281
0.998,ResNet,MEL,0.988,43.57517033908516
0.996,ResNet,MEL,0.984,45.27068154793233
0.998,ResNet,MEL,0.986,50.67608486302196
0.998,ResNet,MEL,0.992,50.3078243676573
0.996,ResNet,MEL,0.986,42.89946191012859
0.996,ResNet,MEL,0.992,48.90952144004405
0.992,VGG16,MEL,0.9740000000000001,50.399960364215076
0.988,VGG16,MEL,0.9620000000000001,48.87398345861585
0.9940000000000001,VGG16,MEL,0.972,51.41297397017479
0.992,VGG16,MEL,0.976,50.9337087161839
0.9940000000000001,VGG16,MEL,0.978,49.39446079917253
0.992,VGG16,MEL,0.98,50.971925298683345
0.99,VGG16,MEL,0.982,49.120445893146105
0.992,VGG16,MEL,0.9740000000000001,47.620009697042406
0.99,VGG16,MEL,0.9740000000000001,46.602334552444525
0.992,VGG16,MEL,0.9740000000000001,47.35374516062439
0.994,INCEPTION_Resnet_v2,MEL,0.964,87.05790034867823
0.992,INCEPTION_Resnet_v2,MEL,0.962,85.86501190252602
0.992,INCEPTION_Resnet_v2,MEL,0.968,81.228491647169
0.992,INCEPTION_Resnet_v2,MEL,0.962,70.78438194934279
0.99,INCEPTION_Resnet_v2,MEL,0.962,75.87697268743068
0.992,INCEPTION_Resnet_v2,MEL,0.968,72.86445421911776
0.992,INCEPTION_Resnet_v2,MEL,0.96,78.7872171010822
0.994,INCEPTION_Resnet_v2,MEL,0.96,77.53131836652756
0.992,INCEPTION_Resnet_v2,MEL,0.962,77.63516195677221
0.992,INCEPTION_Resnet_v2,MEL,0.956,78.05633769184351
