fpr,tpr,Thresholds,Data,Train Size,Speaker Number,Positive,Method
0,0,1.8466508,Digit Data,40%,30,Unauthorized,flatten_1
0.000333333,0,0.8466509,Digit Data,40%,30,Unauthorized,flatten_1
0.110666667,0,0.7674585,Digit Data,40%,30,Unauthorized,flatten_1
0.110666667,0.001,0.76744896,Digit Data,40%,30,Unauthorized,flatten_1
0.142,0.001,0.7597917,Digit Data,40%,30,Unauthorized,flatten_1
0.142,0.002,0.7597476,Digit Data,40%,30,Unauthorized,flatten_1
0.153,0.002,0.75751764,Digit Data,40%,30,Unauthorized,flatten_1
0.153,0.003,0.7573356,Digit Data,40%,30,Unauthorized,flatten_1
0.157666667,0.003,0.7567588,Digit Data,40%,30,Unauthorized,flatten_1
0.157666667,0.004,0.7566958,Digit Data,40%,30,Unauthorized,flatten_1
0.172666667,0.004,0.7536336,Digit Data,40%,30,Unauthorized,flatten_1
0.172666667,0.005,0.7534944,Digit Data,40%,30,Unauthorized,flatten_1
0.176333333,0.005,0.7528953,Digit Data,40%,30,Unauthorized,flatten_1
0.176333333,0.006,0.75281113,Digit Data,40%,30,Unauthorized,flatten_1
0.184333333,0.006,0.75175846,Digit Data,40%,30,Unauthorized,flatten_1
0.184333333,0.007,0.75173575,Digit Data,40%,30,Unauthorized,flatten_1
0.192333333,0.007,0.7498801,Digit Data,40%,30,Unauthorized,flatten_1
0.192333333,0.008,0.7498674,Digit Data,40%,30,Unauthorized,flatten_1
0.199,0.008,0.7486032,Digit Data,40%,30,Unauthorized,flatten_1
0.199,0.009,0.748595,Digit Data,40%,30,Unauthorized,flatten_1
0.2,0.009,0.7484142,Digit Data,40%,30,Unauthorized,flatten_1
0.2,0.011,0.74835014,Digit Data,40%,30,Unauthorized,flatten_1
0.214333333,0.011,0.7467206,Digit Data,40%,30,Unauthorized,flatten_1
0.214333333,0.012,0.74668694,Digit Data,40%,30,Unauthorized,flatten_1
0.225666667,0.012,0.7452524,Digit Data,40%,30,Unauthorized,flatten_1
0.225666667,0.014,0.7451597,Digit Data,40%,30,Unauthorized,flatten_1
0.233,0.014,0.7439629,Digit Data,40%,30,Unauthorized,flatten_1
0.233,0.015,0.7438103,Digit Data,40%,30,Unauthorized,flatten_1
0.236333333,0.015,0.7434056,Digit Data,40%,30,Unauthorized,flatten_1
0.236333333,0.016,0.74338937,Digit Data,40%,30,Unauthorized,flatten_1
0.244666667,0.016,0.7423301,Digit Data,40%,30,Unauthorized,flatten_1
0.244666667,0.017,0.74227655,Digit Data,40%,30,Unauthorized,flatten_1
0.250333333,0.017,0.7411914,Digit Data,40%,30,Unauthorized,flatten_1
0.250333333,0.018,0.7411709,Digit Data,40%,30,Unauthorized,flatten_1
0.27,0.018,0.73859745,Digit Data,40%,30,Unauthorized,flatten_1
0.27,0.019,0.73853534,Digit Data,40%,30,Unauthorized,flatten_1
0.271333333,0.019,0.73836434,Digit Data,40%,30,Unauthorized,flatten_1
0.271333333,0.02,0.73834956,Digit Data,40%,30,Unauthorized,flatten_1
0.274333333,0.02,0.7381045,Digit Data,40%,30,Unauthorized,flatten_1
0.274333333,0.022,0.7380684,Digit Data,40%,30,Unauthorized,flatten_1
0.286,0.022,0.73644084,Digit Data,40%,30,Unauthorized,flatten_1
0.286,0.025,0.73626214,Digit Data,40%,30,Unauthorized,flatten_1
0.293666667,0.025,0.73505414,Digit Data,40%,30,Unauthorized,flatten_1
0.293666667,0.026,0.73503447,Digit Data,40%,30,Unauthorized,flatten_1
0.294,0.026,0.7350154,Digit Data,40%,30,Unauthorized,flatten_1
0.294,0.027,0.73497987,Digit Data,40%,30,Unauthorized,flatten_1
0.297666667,0.027,0.73421514,Digit Data,40%,30,Unauthorized,flatten_1
0.297666667,0.028,0.73421454,Digit Data,40%,30,Unauthorized,flatten_1
0.298666667,0.028,0.7340601,Digit Data,40%,30,Unauthorized,flatten_1
0.298666667,0.029,0.7339901,Digit Data,40%,30,Unauthorized,flatten_1
0.302,0.029,0.7334261,Digit Data,40%,30,Unauthorized,flatten_1
0.302,0.03,0.7334063,Digit Data,40%,30,Unauthorized,flatten_1
0.303666667,0.03,0.73326826,Digit Data,40%,30,Unauthorized,flatten_1
0.303666667,0.031,0.7332277,Digit Data,40%,30,Unauthorized,flatten_1
0.304333333,0.031,0.733193,Digit Data,40%,30,Unauthorized,flatten_1
0.304333333,0.032,0.7331866,Digit Data,40%,30,Unauthorized,flatten_1
0.305,0.032,0.73311543,Digit Data,40%,30,Unauthorized,flatten_1
0.305,0.033,0.733106,Digit Data,40%,30,Unauthorized,flatten_1
0.305666667,0.033,0.7329372,Digit Data,40%,30,Unauthorized,flatten_1
0.305666667,0.034,0.732915,Digit Data,40%,30,Unauthorized,flatten_1
0.313666667,0.034,0.7318748,Digit Data,40%,30,Unauthorized,flatten_1
0.313666667,0.035,0.7318438,Digit Data,40%,30,Unauthorized,flatten_1
0.320666667,0.035,0.7308972,Digit Data,40%,30,Unauthorized,flatten_1
0.320666667,0.036,0.7308912,Digit Data,40%,30,Unauthorized,flatten_1
0.321,0.036,0.73082566,Digit Data,40%,30,Unauthorized,flatten_1
0.321,0.037,0.73079395,Digit Data,40%,30,Unauthorized,flatten_1
0.322333333,0.037,0.7306106,Digit Data,40%,30,Unauthorized,flatten_1
0.322333333,0.038,0.73057985,Digit Data,40%,30,Unauthorized,flatten_1
0.341333333,0.038,0.72824705,Digit Data,40%,30,Unauthorized,flatten_1
0.341333333,0.039,0.72820604,Digit Data,40%,30,Unauthorized,flatten_1
0.346,0.039,0.72777426,Digit Data,40%,30,Unauthorized,flatten_1
0.346,0.04,0.72768104,Digit Data,40%,30,Unauthorized,flatten_1
0.346333333,0.04,0.72757673,Digit Data,40%,30,Unauthorized,flatten_1
0.346333333,0.041,0.7275514,Digit Data,40%,30,Unauthorized,flatten_1
0.348666667,0.041,0.72737646,Digit Data,40%,30,Unauthorized,flatten_1
0.348666667,0.042,0.72725797,Digit Data,40%,30,Unauthorized,flatten_1
0.353333333,0.042,0.7267185,Digit Data,40%,30,Unauthorized,flatten_1
0.353333333,0.043,0.72670853,Digit Data,40%,30,Unauthorized,flatten_1
