Recall,Precision,Thresholds,Data,Train Size,Speaker Number,D-vector
1.0,0.3457814661134163,0.8005571,Digit Data,40%,5,conv5_block3_out
0.998,0.3453287197231834,0.8010550000000001,Digit Data,40%,5,conv5_block3_out
0.998,0.34556786703601106,0.8013368000000001,Digit Data,40%,5,conv5_block3_out
0.998,0.3458073458073458,0.80176914,Digit Data,40%,5,conv5_block3_out
0.998,0.3460471567267684,0.80189383,Digit Data,40%,5,conv5_block3_out
0.998,0.3462873004857738,0.8024416999999999,Digit Data,40%,5,conv5_block3_out
0.998,0.34652777777777777,0.8024864,Digit Data,40%,5,conv5_block3_out
0.998,0.3467685892981237,0.80324954,Digit Data,40%,5,conv5_block3_out
0.998,0.3470097357440889,0.80337954,Digit Data,40%,5,conv5_block3_out
0.998,0.3472512178148921,0.8036734999999999,Digit Data,40%,5,conv5_block3_out
0.998,0.3474930362116992,0.80459934,Digit Data,40%,5,conv5_block3_out
0.998,0.3477351916376307,0.8046597,Digit Data,40%,5,conv5_block3_out
0.998,0.3479776847977685,0.80577636,Digit Data,40%,5,conv5_block3_out
0.998,0.34822051639916257,0.80618966,Digit Data,40%,5,conv5_block3_out
0.998,0.348463687150838,0.80641997,Digit Data,40%,5,conv5_block3_out
0.998,0.34870719776380155,0.80693614,Digit Data,40%,5,conv5_block3_out
0.998,0.3489510489510489,0.8073901,Digit Data,40%,5,conv5_block3_out
0.998,0.3491952414275717,0.8078656,Digit Data,40%,5,conv5_block3_out
0.998,0.3494397759103641,0.80787635,Digit Data,40%,5,conv5_block3_out
0.998,0.3496846531184303,0.8079429,Digit Data,40%,5,conv5_block3_out
0.998,0.34992987377279106,0.80816436,Digit Data,40%,5,conv5_block3_out
0.998,0.35017543859649125,0.8081762,Digit Data,40%,5,conv5_block3_out
0.998,0.35042134831460675,0.8082142,Digit Data,40%,5,conv5_block3_out
0.998,0.3506676036542516,0.80829966,Digit Data,40%,5,conv5_block3_out
0.998,0.3509142053445851,0.8086207,Digit Data,40%,5,conv5_block3_out
0.998,0.35116115411681914,0.8090156999999999,Digit Data,40%,5,conv5_block3_out
0.998,0.3514084507042253,0.80934393,Digit Data,40%,5,conv5_block3_out
0.998,0.3516560958421424,0.8095588,Digit Data,40%,5,conv5_block3_out
0.998,0.3519040902679831,0.80962527,Digit Data,40%,5,conv5_block3_out
0.998,0.3521524347212421,0.80995464,Digit Data,40%,5,conv5_block3_out
0.998,0.3524011299435028,0.81018776,Digit Data,40%,5,conv5_block3_out
0.998,0.3526501766784452,0.8107629,Digit Data,40%,5,conv5_block3_out
0.998,0.3528995756718529,0.8108631,Digit Data,40%,5,conv5_block3_out
0.998,0.35314932767162066,0.81097686,Digit Data,40%,5,conv5_block3_out
0.998,0.35339943342776203,0.8109856,Digit Data,40%,5,conv5_block3_out
0.998,0.35364989369241673,0.81106865,Digit Data,40%,5,conv5_block3_out
0.998,0.35390070921985817,0.8116471,Digit Data,40%,5,conv5_block3_out
0.998,0.35415188076650106,0.8118616999999999,Digit Data,40%,5,conv5_block3_out
0.998,0.3544034090909091,0.8119861999999999,Digit Data,40%,5,conv5_block3_out
0.998,0.35465529495380244,0.81210023,Digit Data,40%,5,conv5_block3_out
0.998,0.35490753911806544,0.812208,Digit Data,40%,5,conv5_block3_out
0.998,0.3551601423487544,0.8133423000000001,Digit Data,40%,5,conv5_block3_out
0.998,0.3554131054131054,0.81365794,Digit Data,40%,5,conv5_block3_out
0.998,0.3556664290805417,0.81499165,Digit Data,40%,5,conv5_block3_out
