Subject_No,add_data,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
5,40%,0.99,1.0,1.0,1.0,1.0,0.96,0.97,1.0,0.82,0.98,1.0,0.9,0.99,0.98,0.89,1.0,0.93,0.97,0.79,0.92,0.97,0.88,0.96,0.95,0.9,0.95,0.98,1.0,0.9,0.96,0.97,0.91,0.97,0.98,0.96,0.88,0.95,0.8,0.94,0.94,0.94,0.7,0.94,0.97,0.96,0.94,0.97,0.99,0.97,0.9,0.96,0.88,0.89,0.99,0.99,0.97,0.86,0.95,0.9,0.88
6,10%,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,0.89,1.0,1.0,0.97,1.0,0.95,0.88,1.0,0.97,1.0,0.93,0.98,0.98,0.97,0.98,0.98,0.97,0.91,1.0,1.0,0.95,0.95,0.99,0.97,0.98,1.0,0.96,0.94,0.95,0.86,0.96,0.98,1.0,0.83,0.96,1.0,0.99,0.98,0.97,1.0,0.99,0.9,0.98,0.96,0.99,0.99,1.0,0.99,0.91,1.0,0.97,0.92
7,10%,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.88,1.0,1.0,0.99,1.0,0.94,0.89,0.98,0.97,1.0,0.91,0.98,1.0,0.95,0.97,1.0,0.98,0.88,0.98,1.0,0.97,0.96,0.98,0.97,1.0,1.0,0.97,0.94,0.97,0.79,0.97,0.99,1.0,0.88,0.96,0.99,1.0,0.96,0.96,0.99,0.98,0.91,0.98,0.92,0.99,0.97,0.99,0.96,0.85,0.98,0.96,0.85
8,10%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.88,1.0,1.0,0.98,1.0,0.96,0.9,0.92,0.98,1.0,0.94,0.99,1.0,0.95,0.98,1.0,0.98,0.92,0.99,0.98,0.98,0.98,0.99,0.97,1.0,1.0,0.96,0.97,0.95,0.86,0.98,1.0,0.99,0.9,0.96,1.0,0.98,0.99,0.95,1.0,0.99,0.89,0.97,0.92,0.98,0.96,0.99,1.0,0.88,0.98,0.98,0.89
9,10%,1.0,1.0,0.99,1.0,1.0,0.99,1.0,1.0,0.99,1.0,1.0,0.99,0.99,0.94,0.89,0.97,0.99,1.0,0.98,1.0,1.0,0.94,0.95,1.0,0.98,0.92,1.0,1.0,0.96,0.99,0.98,0.99,1.0,1.0,0.95,0.95,0.95,0.86,0.98,0.99,1.0,0.89,0.97,1.0,0.99,0.96,0.97,1.0,0.99,0.88,0.97,0.97,1.0,0.93,1.0,0.99,0.86,0.99,0.98,0.89
10,10%,1.0,1.0,0.99,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.89,0.94,0.99,1.0,1.0,0.98,0.99,0.95,0.98,1.0,0.92,0.94,1.0,1.0,0.98,1.0,0.98,0.97,1.0,1.0,0.94,0.96,0.97,0.85,0.98,1.0,1.0,0.86,0.96,1.0,0.99,0.98,0.96,1.0,0.98,0.88,0.98,0.96,1.0,0.95,1.0,0.94,0.86,0.98,0.94,0.84
11,10%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,0.93,1.0,0.96,0.88,0.97,1.0,0.98,1.0,0.98,1.0,0.92,0.97,0.99,0.96,0.94,0.99,1.0,1.0,0.99,0.99,0.99,1.0,1.0,0.96,0.98,0.95,0.87,0.99,1.0,0.98,0.88,0.95,1.0,1.0,0.97,0.95,0.99,0.99,0.86,0.97,0.94,1.0,0.92,1.0,0.95,0.84,0.99,0.97,0.84
12,10%,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,0.98,1.0,1.0,1.0,1.0,0.91,0.83,0.97,0.96,0.98,0.94,0.99,1.0,0.99,0.96,0.96,0.96,0.89,0.95,1.0,0.99,0.99,0.98,0.99,1.0,0.99,0.95,1.0,0.96,0.85,0.98,0.99,0.98,0.83,0.99,0.99,1.0,0.95,0.98,1.0,0.98,0.84,0.98,0.91,1.0,0.98,1.0,0.97,0.83,0.99,0.95,0.88
13,10%,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,0.98,1.0,1.0,1.0,1.0,0.95,0.87,0.98,0.98,0.99,1.0,0.99,1.0,0.96,0.94,0.99,0.97,0.84,0.97,0.92,0.99,0.97,0.98,1.0,0.98,1.0,0.93,1.0,0.95,0.83,0.97,0.99,0.99,0.83,1.0,1.0,0.98,0.97,0.96,1.0,0.98,0.83,1.0,0.93,0.99,0.98,1.0,0.95,0.83,1.0,0.96,0.84
14,10%,1.0,1.0,1.0,0.99,1.0,1.0,0.99,1.0,0.99,1.0,1.0,1.0,1.0,0.98,0.87,1.0,1.0,1.0,0.97,0.99,1.0,0.95,0.98,0.97,0.99,0.91,0.99,0.99,1.0,0.98,0.98,1.0,0.99,0.99,0.95,1.0,0.95,0.92,0.98,1.0,1.0,0.88,0.97,1.0,1.0,0.99,0.97,1.0,1.0,0.94,1.0,0.96,1.0,0.98,1.0,0.99,0.87,1.0,0.97,0.85
15,10%,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,0.99,1.0,0.99,0.98,0.99,0.98,1.0,1.0,1.0,1.0,0.99,0.99,0.92,1.0,0.98,1.0,0.97,0.98,1.0,1.0,1.0,0.93,1.0,0.95,0.9,1.0,1.0,1.0,0.88,0.98,1.0,0.98,0.99,0.96,1.0,0.99,0.89,1.0,0.98,1.0,0.99,1.0,0.99,0.89,1.0,0.96,0.83
16,10%,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,0.99,1.0,0.99,0.96,0.99,0.99,1.0,1.0,0.99,0.99,1.0,1.0,0.83,1.0,0.98,1.0,0.97,0.96,0.99,0.97,1.0,0.91,0.99,0.94,0.84,0.99,1.0,0.98,0.83,0.98,0.98,0.99,0.99,0.98,0.99,1.0,0.9,1.0,0.99,1.0,1.0,1.0,1.0,0.89,1.0,0.96,0.81
