Model,Time,Command_Acc_p15,Command_Acc_p1,Command_Acc_p2,Command_Acc_p3,Command_Acc_p4,Command_Acc_p5,Acc_p6,Acc_p7,Acc_p8,Size
Subjet_1,15.269877525046468,0.6243,0.9369,0.3889,0.5391,0.6239,0.63,0.38,0.384,0.2673,10
Subjet_1,12.062417909502985,0.5709,0.9189,0.3148,0.4696,0.5413,0.61,0.33,0.32,0.2673,10
Subjet_1,13.520935320295393,0.6335,0.955,0.3889,0.5478,0.6514,0.62,0.48,0.384,0.2475,10
Subjet_1,14.664868824183939,0.6225,0.955,0.2685,0.5217,0.6789,0.69,0.26,0.456,0.297,10
Subjet_1,13.347304165363312,0.6188,0.9279,0.3796,0.5652,0.578,0.64,0.39,0.416,0.2574,10
Subjet_1,14.131005981005723,0.5672,0.9279,0.287,0.4696,0.578,0.57,0.25,0.328,0.2673,10
Subjet_1,13.651466427370904,0.593,0.9459,0.2685,0.513,0.6239,0.61,0.43,0.44,0.2673,10
Subjet_1,12.100063954479992,0.5727,0.9279,0.287,0.4957,0.5413,0.61,0.41,0.384,0.2574,10
Subjet_1,13.176442231982946,0.6151,0.9459,0.3611,0.4957,0.6147,0.66,0.41,0.408,0.2871,10
Subjet_1,13.929373387247324,0.6446,0.9369,0.4722,0.5391,0.6147,0.66,0.48,0.408,0.2673,10
Subjet_1,15.902662758715449,0.6409,0.982,0.3704,0.5565,0.6514,0.64,0.34,0.4,0.2178,20
Subjet_1,13.805319245904686,0.6538,1.0,0.3519,0.5913,0.6697,0.65,0.45,0.36,0.2277,20
Subjet_1,15.685423893854024,0.6298,0.982,0.3333,0.5391,0.6422,0.65,0.43,0.408,0.2277,20
Subjet_1,16.194756926968697,0.639,0.982,0.3981,0.6,0.6147,0.59,0.36,0.384,0.2475,20
Subjet_1,15.364569368772207,0.6611,0.982,0.3796,0.5739,0.6972,0.67,0.44,0.4,0.2673,20
Subjet_1,14.957826877944171,0.6317,0.973,0.3981,0.5652,0.6239,0.59,0.38,0.44,0.2475,20
Subjet_1,15.528848698362708,0.6409,0.991,0.4352,0.5565,0.6239,0.59,0.37,0.36,0.2079,20
Subjet_1,15.9937449907884,0.6538,0.991,0.3611,0.5913,0.6697,0.65,0.41,0.36,0.2277,20
Subjet_1,16.823133775964383,0.6446,0.973,0.3704,0.5478,0.6606,0.67,0.37,0.384,0.2475,20
Subjet_1,15.812349866144359,0.6354,0.982,0.3889,0.5304,0.6422,0.63,0.33,0.408,0.2772,20
Subjet_1,16.680686409585178,0.6667,1.0,0.3889,0.5913,0.6697,0.68,0.43,0.35200000000000004,0.2079,30
Subjet_1,14.529957951046526,0.6851,0.991,0.4259,0.5826,0.7248,0.7,0.42,0.36,0.2178,30
Subjet_1,17.79113331437111,0.6796,1.0,0.4352,0.5652,0.7156,0.68,0.36,0.328,0.2277,30
Subjet_1,16.22811463009566,0.6483,1.0,0.3704,0.5565,0.6697,0.64,0.41,0.344,0.2079,30
