Model,Size,Time,Partcp_Acc_p15,Command_Acc_p15,Partcp_Acc_p1,Command_Acc_p1,Partcp_Acc_p2,Command_Acc_p2,Partcp_Acc_p3,Command_Acc_p3,Partcp_Acc_p4,Command_Acc_p4,Partcp_Acc_p5,Command_Acc_p5,Acc_p6,Acc_p7,Acc_p8
Group,10,47.54015593,0.9724,0.9484,0.991,0.955,0.9259,0.8796,0.9652,0.9565,0.9817,0.9633,1,0.99,0.67,0.528,0.3366
Group,10,48.30724861,0.9779,0.9521,1,0.9369,0.9352,0.8796,0.9739,0.9652,0.9908,0.9908,0.99,0.99,0.59,0.528,0.297
Group,10,46.20161481,0.9613,0.9448,0.991,0.9369,0.9074,0.8611,0.9826,0.9652,0.9358,0.9725,0.99,0.99,0.67,0.432,0.2673
Group,10,43.69236208,0.965,0.9521,1,0.9459,0.9074,0.8704,0.9826,0.9652,0.9358,0.9908,1,0.99,0.62,0.504,0.2673
Group,10,44.50457968,0.9687,0.9484,0.991,0.955,0.9259,0.8796,0.9739,0.9652,0.9541,0.9541,1,0.99,0.59,0.472,0.3267
Group,10,44.22916592,0.9705,0.9521,1,0.955,0.9074,0.8796,0.9826,0.9739,0.9633,0.9633,1,0.99,0.62,0.456,0.3069
Group,10,44.53554063,0.9632,0.954,0.991,0.9369,0.9259,0.8981,0.9565,0.9652,0.9541,0.9817,0.99,0.99,0.67,0.496,0.3267
Group,10,42.94873092,0.9724,0.9595,1,0.955,0.9074,0.8889,0.9913,0.9739,0.9633,0.9908,1,0.99,0.67,0.496,0.2574
Group,10,45.44491084,0.9724,0.9503,0.991,0.9459,0.9167,0.8796,0.9913,0.9652,0.9633,0.9725,1,0.99,0.6,0.552,0.2673
Group,10,42.70701946,0.9669,0.954,0.991,0.9459,0.9167,0.8704,0.9739,0.9652,0.9541,0.9908,1,1,0.66,0.48,0.4059
Group,30,80.96622326,0.9926,0.9871,0.991,0.982,0.9815,0.9722,1,0.9913,0.9908,0.9908,1,1,0.69,0.44,0.2772
Group,30,77.37638443,0.9926,0.9797,0.982,0.982,1,0.9537,0.9913,0.9826,0.9908,0.9817,1,1,0.72,0.456,0.2178
Group,30,79.34068582,0.9945,0.9816,0.982,0.982,1,0.9444,1,0.9913,0.9908,0.9908,1,1,0.68,0.44,0.297
Group,30,63.79142453,0.989,0.9871,0.973,0.991,0.9815,0.963,1,0.9913,0.9908,0.9908,1,1,0.68,0.424,0.3069
Group,30,78.67826056,0.9926,0.9797,0.982,0.982,1,0.9537,0.9913,0.9826,0.9908,0.9817,1,1,0.68,0.424,0.2376
